2018-04-15 09:52:52 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (0274510e-27a7-0645-bf81-1e4fb6aaedf6)] -> id: loginButton]
2018-04-15 09:52:52 INFO  TC0003Multiplecredentials:37 - -----multiple end user log
2018-04-15 09:52:52 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-15 09:52:52 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (c6b6a436-610f-ef40-8fc4-308a9c2ab387)] -> id: loginButton]
2018-04-15 09:52:52 INFO  TC0003Multiplecredentials:37 - -----multiple end user log
2018-04-15 09:52:53 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-15 09:52:53 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (0274510e-27a7-0645-bf81-1e4fb6aaedf6)] -> id: username]
2018-04-15 09:52:53 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (c6b6a436-610f-ef40-8fc4-308a9c2ab387)] -> id: username]
2018-04-15 09:52:53 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (0274510e-27a7-0645-bf81-1e4fb6aaedf6)] -> name: pwd]
2018-04-15 09:52:53 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (c6b6a436-610f-ef40-8fc4-308a9c2ab387)] -> name: pwd]
2018-04-15 09:52:58 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (0274510e-27a7-0645-bf81-1e4fb6aaedf6)] -> id: loginButton]
2018-04-15 09:52:58 INFO  TC0003Multiplecredentials:37 - -----multiple end user log
2018-04-15 09:52:58 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-15 09:52:58 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (c6b6a436-610f-ef40-8fc4-308a9c2ab387)] -> id: loginButton]
2018-04-15 09:52:58 INFO  TC0003Multiplecredentials:37 - -----multiple end user log
2018-04-15 09:52:58 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-15 09:52:59 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (0274510e-27a7-0645-bf81-1e4fb6aaedf6)] -> id: username]
2018-04-15 09:52:59 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (c6b6a436-610f-ef40-8fc4-308a9c2ab387)] -> id: username]
2018-04-15 09:52:59 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (0274510e-27a7-0645-bf81-1e4fb6aaedf6)] -> name: pwd]
2018-04-15 09:53:00 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (c6b6a436-610f-ef40-8fc4-308a9c2ab387)] -> name: pwd]
2018-04-15 09:53:00 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (0274510e-27a7-0645-bf81-1e4fb6aaedf6)] -> id: loginButton]
2018-04-15 09:53:00 INFO  TC0003Multiplecredentials:37 - -----multiple end user log
